Player,Pick,DraftYear,PeakSalary,PeakSalaryPercent,StarContract,max_salary_year,MP_pg_Y1,PTS_Y1,TRB_Y1,AST_Y1,STL_Y1,BLK_Y1,TOV_Y1,FG%_Y1,3P%_Y1,FT%_Y1,eFG%_Y1,TS%_Y1,TRB%_Y1,AST%_Y1,STL%_Y1,BLK%_Y1,PER_Y1,BPM_Y1,VORP_Y1,WS_Y1,WS/48_Y1,USG%_Y1,MP_pg_Y2,PTS_Y2,TRB_Y2,AST_Y2,STL_Y2,BLK_Y2,TOV_Y2,FG%_Y2,3P%_Y2,FT%_Y2,eFG%_Y2,TS%_Y2,TRB%_Y2,AST%_Y2,STL%_Y2,BLK%_Y2,PER_Y2,BPM_Y2,VORP_Y2,WS_Y2,WS/48_Y2,USG%_Y2,MP_pg_jump_1_2,PTS_jump_1_2,TRB_jump_1_2,AST_jump_1_2,STL_jump_1_2,BLK_jump_1_2,TOV_jump_1_2,FG%_jump_1_2,3P%_jump_1_2,FT%_jump_1_2,eFG%_jump_1_2,TS%_jump_1_2,TRB%_jump_1_2,AST%_jump_1_2,STL%_jump_1_2,BLK%_jump_1_2,PER_jump_1_2,BPM_jump_1_2,VORP_jump_1_2,WS_jump_1_2,WS/48_jump_1_2,USG%_jump_1_2
Jason Caffey,20,1995,5687500.0,0.1296444039206747,0.0,2004.0,9.6,3.2,1.9,0.4,0.2,0.1,0.8,0.438,0.0,0.588,0.438,0.474,11.9,6.3,1.2,1.0,7.9,-7.1,-0.7,0.4,0.038,19.4,18.7,7.3,4.0,1.2,0.3,0.1,1.3,0.532,0.0,0.659,0.532,0.574,12.1,9.3,0.9,0.5,14.3,-2.5,-0.2,3.9,0.134,18.3,4.1,4.1,2.1,0.7999999999999999,0.09999999999999998,0.0,0.5,0.09400000000000003,0.0,0.07100000000000006,0.09400000000000003,0.09999999999999998,0.1999999999999993,3.000000000000001,-0.29999999999999993,-0.5,6.4,4.6,0.49999999999999994,3.5,0.096,-1.099999999999998
Jason Collier,15,2000,1650000.0,0.0310529782629152,0.0,2006.0,9.7,3.1,1.6,0.3,0.1,0.1,0.5,0.38,0.0,0.708,0.38,0.435,9.6,4.4,0.5,0.9,7.4,-6.5,-0.2,0.0,-0.001,19.2,14.6,4.2,3.3,0.4,0.2,0.2,0.5,0.432,0.0,0.75,0.432,0.486,12.8,4.1,0.9,0.7,11.1,-5.2,-0.3,0.4,0.057,15.5,1.1,1.1,1.6999999999999995,0.1,0.1,0.1,0.0,0.05199999999999999,0.0,0.04200000000000004,0.05199999999999999,0.05099999999999999,3.200000000000001,-0.3000000000000007,0.4,-0.20000000000000007,3.6999999999999993,1.2999999999999998,-0.09999999999999998,0.4,0.058,-3.6999999999999993
Jason Collins,18,2001,6200000.0,0.1074523396880415,0.0,2009.0,18.3,4.5,3.9,1.1,0.4,0.6,0.9,0.421,0.5,0.701,0.423,0.5,12.0,8.4,1.1,2.4,10.7,-2.1,0.0,3.0,0.104,13.5,23.5,5.7,4.5,1.1,0.6,0.5,1.0,0.414,0.0,0.763,0.414,0.521,11.1,6.9,1.3,1.7,9.9,-2.0,0.0,4.7,0.119,12.5,1.2000000000000002,1.2000000000000002,0.6000000000000001,0.0,0.19999999999999996,-0.09999999999999998,0.09999999999999998,-0.007000000000000006,-0.5,0.062000000000000055,-0.009000000000000008,0.02100000000000002,-0.9000000000000004,-1.5,0.19999999999999996,-0.7,-0.7999999999999989,0.1,0.0,1.7000000000000002,0.015,-1.0
Jason Hart,49,2000,2484000.0,0.0430502599653379,0.0,2009.0,10.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,14.6,0.0,0.0,1.7,-10.2,0.0,0.0,-0.159,13.6,9.2,2.6,1.3,1.2,0.7,0.1,0.8,0.526,0.0,1.0,0.526,0.601,8.1,20.9,4.1,0.8,13.5,0.0,0.0,0.3,0.142,15.0,0.6000000000000001,0.6000000000000001,1.3,0.1999999999999999,0.7,0.1,-1.2,-0.474,0.0,1.0,-0.474,-0.399,8.1,6.299999999999999,4.1,0.8,11.8,10.2,0.0,0.3,0.301,1.4000000000000004
Jason Kapono,31,2003,6641440.0,0.114420784232651,0.0,2011.0,10.4,3.5,1.3,0.3,0.3,0.0,0.5,0.403,0.477,0.833,0.484,0.519,7.1,5.3,1.6,0.3,10.2,-2.6,-0.1,0.5,0.056,16.8,18.4,8.5,2.0,0.8,0.5,0.1,0.6,0.401,0.412,0.824,0.461,0.486,6.3,7.3,1.4,0.3,11.8,-2.4,-0.1,1.3,0.043,22.4,5.0,5.0,0.7,0.5,0.2,0.1,0.09999999999999998,-0.0020000000000000018,-0.065,-0.009000000000000008,-0.022999999999999965,-0.03300000000000003,-0.7999999999999998,2.0,-0.20000000000000018,0.0,1.6000000000000014,0.2000000000000001,0.0,0.8,-0.013000000000000005,5.599999999999998
Jason Kidd,2,1994,21372000.0,0.3703986135181976,1.0,2009.0,33.8,11.7,5.4,7.7,1.9,0.3,3.2,0.385,0.272,0.698,0.426,0.471,8.7,33.2,2.9,0.6,15.1,1.2,2.1,3.7,0.066,19.0,37.5,16.6,6.8,9.7,2.2,0.3,4.0,0.381,0.336,0.692,0.433,0.468,9.6,41.5,2.9,0.6,17.8,2.0,3.0,4.3,0.068,24.3,4.900000000000002,4.900000000000002,1.3999999999999997,1.9999999999999991,0.30000000000000027,0.0,0.7999999999999998,-0.0040000000000000036,0.064,-0.006000000000000005,0.007000000000000006,-0.002999999999999947,0.9000000000000004,8.299999999999997,0.0,0.0,2.700000000000001,0.8,0.8999999999999999,0.5999999999999996,0.0020000000000000018,5.300000000000001
Jason Maxiell,26,2005,5000000.0,0.0861415477913307,0.0,2010.0,6.1,2.3,1.1,0.1,0.2,0.2,0.4,0.426,0.0,0.333,0.426,0.414,10.5,3.1,1.4,2.3,8.0,-9.2,-0.3,-0.2,-0.054,24.9,14.1,5.0,2.8,0.2,0.4,0.9,0.8,0.5,0.0,0.526,0.5,0.518,11.7,2.5,1.7,4.9,14.4,-2.0,0.0,1.8,0.091,18.9,2.7,2.7,1.6999999999999995,0.1,0.2,0.7,0.4,0.07400000000000001,0.0,0.193,0.07400000000000001,0.10400000000000004,1.1999999999999993,-0.6000000000000001,0.30000000000000004,2.6000000000000005,6.4,7.199999999999999,0.3,2.0,0.145,-6.0
Jason Richardson,5,2001,14444444.0,0.24885335262904,1.0,2011.0,32.9,14.4,4.3,3.0,1.3,0.4,2.0,0.426,0.333,0.671,0.463,0.487,6.9,15.4,2.0,0.8,13.8,-0.9,0.7,2.9,0.052,21.5,32.9,15.6,4.6,3.0,1.1,0.3,2.2,0.41,0.368,0.764,0.463,0.501,7.5,15.3,1.7,0.6,14.8,-0.5,1.0,3.7,0.066,23.0,1.1999999999999993,1.1999999999999993,0.2999999999999998,0.0,-0.19999999999999996,-0.10000000000000003,0.20000000000000018,-0.016000000000000014,0.034999999999999976,0.09299999999999997,0.0,0.014000000000000012,0.5999999999999996,-0.09999999999999964,-0.30000000000000004,-0.20000000000000007,1.0,0.4,0.30000000000000004,0.8000000000000003,0.014000000000000005,1.5
Jason Terry,10,1999,11158000.0,0.1922334780511336,0.0,2012.0,23.3,8.1,2.0,4.3,1.1,0.1,1.9,0.415,0.293,0.807,0.453,0.497,4.8,29.3,2.5,0.3,13.9,-1.0,0.5,1.9,0.047,19.2,37.7,19.7,3.3,4.9,1.3,0.1,2.9,0.436,0.395,0.846,0.481,0.531,4.9,24.3,1.8,0.3,17.3,1.3,2.6,6.5,0.1,25.5,11.6,11.6,1.2999999999999998,0.6000000000000005,0.19999999999999996,0.0,1.0,0.02100000000000002,0.10200000000000004,0.038999999999999924,0.02799999999999997,0.03400000000000003,0.10000000000000053,-5.0,-0.7,0.0,3.4000000000000004,2.3,2.1,4.6,0.053000000000000005,6.300000000000001
Jason Thompson,12,2008,6431250.0,0.0683136292661164,0.0,2016.0,28.1,11.1,7.4,1.1,0.6,0.7,1.8,0.497,0.0,0.692,0.497,0.54,15.4,6.8,1.0,1.9,13.9,-4.2,-1.3,2.7,0.057,19.3,31.4,12.5,8.5,1.7,0.5,1.0,1.9,0.472,0.1,0.715,0.473,0.518,15.5,8.3,0.9,2.3,14.5,-2.4,-0.2,4.0,0.081,19.6,1.4000000000000004,1.4000000000000004,1.0999999999999996,0.5999999999999999,-0.09999999999999998,0.30000000000000004,0.09999999999999987,-0.025000000000000022,0.1,0.02300000000000002,-0.02400000000000002,-0.02200000000000002,0.09999999999999964,1.5000000000000009,-0.09999999999999998,0.3999999999999999,0.5999999999999996,1.8000000000000005,1.1,1.2999999999999998,0.024,0.3000000000000007
Jason Williams,7,1998,8937500.0,0.1523091342876619,0.0,2008.0,36.1,12.8,3.1,6.0,1.9,0.0,2.9,0.374,0.31,0.752,0.455,0.483,4.5,25.2,2.6,0.0,12.8,-1.0,0.5,2.1,0.055,19.1,34.1,12.3,2.8,7.3,1.4,0.1,3.7,0.373,0.287,0.753,0.448,0.477,4.3,30.7,2.0,0.2,11.6,-1.9,0.1,1.5,0.026,20.3,-0.5,-0.5,-0.3000000000000002,1.2999999999999998,-0.5,0.1,0.8000000000000003,-0.0010000000000000009,-0.02300000000000002,0.0010000000000000009,-0.007000000000000006,-0.006000000000000005,-0.20000000000000018,5.5,-0.6000000000000001,0.2,-1.200000000000001,-0.8999999999999999,-0.4,-0.6000000000000001,-0.029,1.1999999999999993
Javaris Crittenton,19,2007,1285200.0,0.0219018404907975,0.0,2008.0,13.6,5.6,2.2,1.0,0.4,0.0,1.1,0.421,0.27,0.692,0.442,0.499,9.1,11.7,1.4,0.2,11.0,-4.1,-0.4,0.1,0.004,21.8,18.6,5.0,2.6,2.4,0.6,0.1,1.3,0.46,0.133,0.576,0.463,0.487,8.3,19.8,1.8,0.4,10.4,-4.3,-0.7,0.0,0.0,15.8,-0.5999999999999996,-0.5999999999999996,0.3999999999999999,1.4,0.19999999999999996,0.1,0.19999999999999996,0.039000000000000035,-0.137,-0.11599999999999999,0.02100000000000002,-0.01200000000000001,-0.7999999999999989,8.100000000000001,0.40000000000000013,0.2,-0.5999999999999996,-0.2000000000000001,-0.29999999999999993,-0.1,-0.004,-6.0
